TEXT,LANGUAGE
உங்கள் அனைவரையும் வரவேற்கிறது,TAMIL
आप सभी का स्वागत है,HINDI
ನಿಮ್ಮೆಲ್ಲರನ್ನು ಸ್ವಾಗತಿಸುತ್ತದೆ,KANNADA
మీ అందరికీ స్వాగతం,TELUGU
നിങ്ങളെ എല്ലാവരെയും സ്വാഗതം ചെയ്യുന്നു,MALAYALAM
آپ سب کو خوش آمدید کہتے ہیں۔,URDU
WELCOME,ENGLISH
 WELCOME YOU ALL,ENGLISH
வரவேற்பு,TAMIL
ಸ್ವಾಗತ,KANNADA
స్వాగతం,TELUGU
സ്വാഗതം,MALAYALAM
خوش آمدید,URDU
کیا آپ انگلش بول سکتے ہیں,URDU
നീ ഇംഗ്ലീഷ് സംസാരിക്കുമോ,MALAYALAM
మీరు ఇంగ్లీష్ మాట్లాడతారా,TELUGU
ನೀವು ಇಂಗ್ಲಿಷ್ ಮಾತನಾಡುತ್ತೀರಾ,KANNADA
நீங்கள் ஆங்கிலம் பேசுகிறீர்களா,TAMIL
DO YOU SPEAK ENGLISH,ENGLISH
CAN YOU HELP ME,ENGLISH
کیا آپ میری مدد کر سکتے ہیں,URDU
എന്നെ സഹായിക്കാമോ,MALAYALAM
మీరు నాకు సహాయం చేయగలరా,TELUGU
ನೀವು ನನಗೆ ಸಹಾಯ ಮಾಡಬಹುದು,KANNADA
நீங்கள் எனக்கு உதவ முடியுமா,TAMIL
WHERE IS THE HOTEL,ENGLISH
ہوٹل کہاں ہے؟,URDU
ഹോട്ടൽ എവിടെയാണ്,MALAYALAM
హోటల్ ఎక్కడ ఉంది,TELUGU
ಹೋಟೆಲ್ ಎಲ್ಲಿದೆ,KANNADA
ஹோட்டல் எங்கே,TAMIL
مجھے یہ پسند ہے,URDU
എനിക്ക് ഇഷ്ടപ്പെട്ടു,MALAYALAM
నాకు అది నచ్చింది,TELUGU
ನನಗೆ ಅದು ಇಷ್ಟವಾಯಿತು,KANNADA
எனக்கு அது பிடித்திருந்தது,TAMIL
I LIKED IT,ENGLISH
I WENT TO TEMPLE,ENGLISH
میں مندر گیا۔,URDU
ഞാൻ അമ്പലത്തിൽ പോയി,MALAYALAM
నేను గుడికి వెళ్ళాను,TELUGU
ನಾನು ದೇವಸ್ಥಾನಕ್ಕೆ ಹೋಗಿದ್ದೆ,KANNADA
நான் கோவிலுக்கு சென்றேன்,TAMIL
I WENT TO OFFICE,ENGLISH
وہ ہر صبح ورزش کرتی ہے۔,URDU
അവൾ എല്ലാ ദിവസവും രാവിലെ വ്യായാമം ചെയ്യുന്നു.,MALAYALAM
"నేను ఆలయానికి వెళ్ళాను, ఆమె ప్రతి ఉదయం వ్యాయామం చేస్తుంది.",TELUGU
ಅವಳು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ವ್ಯಾಯಾಮ ಮಾಡುತ್ತಾಳೆ.,KANNADA
அவள் தினமும் காலையில் உடற்பயிற்சி செய்கிறாள்.,TAMIL
Use simple and clear language thateveryonecanunderstand.,ENGLISH
آسان اور صاف زبان استعمال کریں جسے ہر کوئی سمجھ سکے۔,URDU
ಎಲ್ಲರಿಗೂ ಅರ್ಥವಾಗುವ ಸರಳ ಮತ್ತು ಸ್ಪಷ್ಟ ಭಾಷೆಯನ್ನು ಬಳಸಿ.,KANNADA
सरल और स्पष्ट भाषा का प्रयोग करें जिसे हर कोई समझ सके।,HINDI
அனைவருக்கும் புரியும் எளிய மற்றும் தெளிவான மொழியைப் பயன்படுத்தவும்.,TAMIL
ప్రతి ఒక్కరూ అర్థం చేసుకోగలిగే సరళమైన మరియు స్పష్టమైన భాషను ఉపయోగించండి.,TELUGU
എല്ലാവർക്കും മനസ്സിലാകുന്ന ലളിതവും വ്യക്തവുമായ ഭാഷ ഉപയോഗിക്കുക.,MALAYALAM
SWITCH OFF THE LIGHT,ENGLISH
ലൈറ്റ് ഓഫ് ചെയ്യുക,MALAYALAM
لائٹ بند کر دیں۔,URDU
ಲೈಟ್ ಆಫ್ ಮಾಡಿ,KANNADA
रौशनी बंद कर दो,HINDI
ஒளியை அணைக்கவும்,TAMIL
లైట్ స్విచ్ ఆఫ్ చేయండి,TELUGU
WHAT'S GOING HERE,ENGLISH
ഇവിടെ എന്താണ് നടക്കുന്നത്,MALAYALAM
یہاں کیا ہو رہا ہے۔,URDU
ಇಲ್ಲಿ ಏನಾಗುತ್ತಿದೆ,KANNADA
यहाँ क्या हो रहा है?,HINDI
இங்கே என்ன நடக்கிறது,TAMIL
ఇక్కడ ఏమి జరుగుతోంది,TELUGU
GOOD NIGHT,ENGLISH
ശുഭ രാത്രി,MALAYALAM
شب بخیر,URDU
ಶುಭ ರಾತ್ರಿ,KANNADA
शुभ रात्रि,HINDI
இனிய இரவு,TAMIL
శుభ రాత్రి,TELUGU
DID YOU SEE THE MOVIE YESTERDAY ,ENGLISH
کیا آپ نے کل فلم دیکھی تھی۔,URDU
നിങ്ങൾ ഇന്നലെ സിനിമ കണ്ടോ,MALAYALAM
क्या आपने कल फिल्म देखी?,HINDI
ನೀವು ನಿನ್ನೆ ಚಲನಚಿತ್ರವನ್ನು ನೋಡಿದ್ದೀರಾ,KANNADA
நேற்று படம் பார்த்தீர்களா,TAMIL
మీరు నిన్న సినిమా చూసారా,TELUGU
don't laugh like a devil,ENGLISH
പിശാചിനെപ്പോലെ ചിരിക്കരുത്,MALAYALAM
شیطان کی طرح مت ہنسو,URDU
शैतान की तरह मत हंसो,HINDI
ದೆವ್ವದಂತೆ ನಗಬೇಡ,KANNADA
பிசாசு போல் சிரிக்காதே,TAMIL
దెయ్యంలా నవ్వకండి,TELUGU
ARE YOU ALRIGHT NOW,ENGLISH
ഇപ്പോൾ സുഖമാണോ,MALAYALAM
کیا آپ ابھی ٹھیک ہیں؟,URDU
क्या आप अब ठीक हैं?,HINDI
ನೀನು ಈಗ ಚೆನ್ನಾಗಿದ್ದೀಯಾ,KANNADA
మీరు ఇప్పుడు బాగున్నారా,TELUGU
இப்போது நலமாக உள்ளீர்களா,TAMIL
THANK YOU FOR VISIT,ENGLISH
സന്ദർശനത്തിന് നന്ദി,MALAYALAM
وزٹ کے لیے آپ کا شکریہ,URDU
आने के लिए धन्यवाद,HINDI
ಭೇಟಿಗಾಗಿ ಧನ್ಯವಾದಗಳು,KANNADA
సందర్శించినందుకు ధన్యవాదాలు,TELUGU
வருகைக்கு நன்றி,TAMIL
DID YOU FINISH YOUR LUNCH,ENGLISH
کیا آپ نے اپنا لنچ ختم کر لیا؟,URDU
क्या आपने अपना दोपहर का भोजन ख़त्म कर लिया?,HINDI
ನೀವು ನಿಮ್ಮ ಊಟವನ್ನು ಮುಗಿಸಿದ್ದೀರಾ,KANNADA
നിങ്ങൾ ഉച്ചഭക്ഷണം പൂർത്തിയാക്കിയോ,MALAYALAM
మీరు మీ లంచ్ ముగించారా,TELUGU
உங்கள் மதிய உணவை முடித்துவிட்டீர்களா,TAMIL
WHERE ARE YOU COMING FROM,ENGLISH
تم کہاں سے آرہے ہو,URDU
आप कहां से आ रहे हैं,HINDI
ನೀವು ಎಲ್ಲಿಂದ ಬರುತ್ತಿದ್ದೀರಾ,KANNADA
താങ്കൾ എവിടെ നിന്ന് വരുന്നു,MALAYALAM
నువ్వు ఎక్కడి నుండి వస్తున్నావు,TELUGU
நீ எங்கிருந்து வருகிறாய்,TAMIL
Tamil is a beautiful language,ENGLISH
تامل ایک خوبصورت زبان ہے۔,URDU
तमिल एक खूबसूरत भाषा है,HINDI
ತಮಿಳು ಒಂದು ಸುಂದರ ಭಾಷೆ,KANNADA
തമിഴ് മനോഹരമായ ഭാഷയാണ്,MALAYALAM
తమిళం ఒక అందమైన భాష,TELUGU
தமிழ் அழகான மொழி,TAMIL
College leave for today,ENGLISH
آج کالج کی چھٹی,URDU
आज कॉलेज की छुट्टी,HINDI
ഇന്ന് കോളേജിന് അവധി,MALAYALAM
ఈరోజు కాలేజీకి సెలవు,TELUGU
ಇವತ್ತು ಕಾಲೇಜಿಗೆ ರಜೆ,KANNADA
ARE YOU FINE,ENGLISH
آپ ٹھیک ہیں,URDU
क्या आप ठीक हैं,HINDI
നിങ്ങൾക്ക് സുഖമാണോ,MALAYALAM
నువ్వు క్షేమమేనా,TELUGU
ನೀವು ಚೆನ್ನಾಗಿದ್ದೀರಾ,KANNADA
நீங்கள் நலமாக இருக்கிறீர்களா,TAMIL
வணக்கம்,TAMIL
Hello ,ENGLISH
హలో,TELUGU
السلام علیکم ,URDU
ഹലോ,MALAYALAM
ನಮಸ್ಕಾರ,KANNADA
ಶುಭಾಷಯಗಳು ,KANNADA
അഭിവാദ്യം ,MALAYALAM
శుభాకాంక్షలు,TELUGU
எப்படி அழகான இடம்!,TAMIL
What a beautiful place!,ENGLISH
ఏ అంగనం చూసారు! ,TELUGU
کتنا خوبصورت مقام ہے! ,URDU
എങ്ങനെ സുന്ദരമായ സ്ഥലം!,MALAYALAM
ಎಷ್ಟು ಸುಂದರವಾದ ಸ್ಥಳ!,KANNADA
நேரம் என்ன,TAMIL
What is the time?,ENGLISH
సమయం ఏమిటి? ,TELUGU
وقت کیا ہوا ہے؟ ,URDU
സമയം എന്താണ്?,MALAYALAM
ಸಮಯ ಏನು?,KANNADA
When did you come?,ENGLISH
ఎప్పుడు రాను? ,TELUGU
آپ کب آئے ہیں؟ ,URDU
എപ്പോഴും വന്നതായിരിക്കുക,MALAYALAM
ನೀವು ಯಾವಾಗ ಬಂದಿದ್ದೀರಾ?,KANNADA
சந்தோஷம் ,TAMIL
Happiness,ENGLISH
ఆనందం ,TELUGU
خوشی ,URDU
സന്തോഷം ,MALAYALAM
ಸಂತೋಷ ,KANNADA
Don't forget old things,ENGLISH
పాత వస్తువులను మర్చిపోకండి ,TELUGU
പഴയ കാരണങ്ങൾ മറക്കരുത് ,MALAYALAM
پرانی چیزوں کو بھولنا نہیں ,URDU
ಹಳೆಯ ವಿಷಯಗಳನ್ನು ಮರೆಯಬೇಡಿ,KANNADA
When will the work be completed,ENGLISH
ఎప్పుడు పని ముగియిపోతుంది,TELUGU
کام کب مکمل ہوگا؟,URDU
എപ്പോൾ ജോലി അവസാനിക്കും,MALAYALAM
ಎಪ್ಪಾಡು ಕೆಲಸ ಮುಗಿಯುತ್ತದೆ?,KANNADA
நாளைக்கு பார்க்கோம் ,TAMIL
Let's see tomorrow.,ENGLISH
రేపు చూస్తాం,TELUGU
ہمیں کل دیکھ لیں,URDU
നാളെ കാണാം,MALAYALAM
ನಾವು ನಾಳೆ ನೋಡೋಣ,KANNADA
உனக்கு புரியுதா,TAMIL
Do you understand?,ENGLISH
మీకు అర్థం అయిందా?,TELUGU
کیا آپ کو سمجھ آیا ہے؟,URDU
നിനക്ക് അറിയുന്നുണ്ടോ?,MALAYALAM
ನೀನಿಗೆ ಅರ್ಥವಾಗುತ್ತಿದೆಯೇ?,KANNADA
அவனுக்கு கருள் பயம் உள்ளது,TAMIL
He is afraid of the dark.,ENGLISH
అతనికి అంధకారం భయపడుతుంది,TELUGU
اسے تاریکی سے خوف ہے,URDU
അവൻ കറുത്തകാലത്തെ ഭയപ്പെടുന്നു,MALAYALAM
ಅವನಿಗೆ ಕತ್ತಲಲ್ಲಿ ಭಯವಾಗಿದೆ,KANNADA
क्या आपको समझ आया है,HINDI
उसे अंधेरे से डर लगता है,HINDI
நாளைக்கு பாப்போம்,TAMIL
: कल मिलेगा,HINDI
எப்போ வேலை முடிபா,TAMIL
इसका काम समाप्त हो गया है,HINDI
पुरानी बातें भूल मत जाना ,HINDI
आनंद,HINDI
"Everyone, come and eat",ENGLISH
"सभी, आओ और खाओ",HINDI
"అంగడికి రా, ఆకలిని తినండి",TELUGU
ب آئیں اور کھائیں,URDU
എല്ലാരും സപ്പോടെ വാങ്ങൂ,MALAYALAM
"ಎಲ್ಲರೂ ಬನ್ನಿ, ಭೋಜನ ಮಾಡಿ",KANNADA
Nice to meet you,ENGLISH
आपसे मिलकर खुशी हुई,HINDI
మీరు కలిసి ఖుషిగా ఉంది,TELUGU
آپ سے مل کر خوشی ہوئی,URDU
നിനച്ചതിന് സന്ദർശിക്കുന്നത് സ്വന്തമാകുക,MALAYALAM
ನಿನಗೆ ಭೇಟಿಯಾಗಿ ಸಂತೋಷವಾಗಿದೆ,KANNADA
உங்களை சந்திக்க மிகுந்த மகிழ்ச்சி,TAMIL
Tomorrow is a holiday,ENGLISH
कल छुट्टी है,HINDI
నాళ్లు అవకాశం,TELUGU
کل چھٹی ہے,URDU
നാളെ കാലം,MALAYALAM
ನಾಳೆ ರಜಾ ,KANNADA
அவன் ஒரு புத்தகம் படிக்கின்றான்,TAMIL
He is reading a book,ENGLISH
वह किताब पढ़ रहा है ,HINDI
అతను ఒక పుస్తకం చదువుతున్నాడు,TELUGU
وہ کتاب پڑھ رہا ہے,URDU
അവൻ ഒരു പുസ്തകം വായിക്കുന്നു,MALAYALAM
ಅವನು ಒಂದು ಪುಸ್ತಕವನ್ನು ಓದುತ್ತಿದ್ದಾನೆ,KANNADA
Call me when you get home,ENGLISH
"जब आप घर पहुंचें, मुझे कॉल करें",HINDI
: మీరు ఇంటికి చేరిపోతే నాకు కాల్ చేయండి,TELUGU
جب آپ گھر پہنچیں تو مجھے کال کریں,URDU
നിനക്ക് വീടു എത്തുമ്പോൾ ഞാൻ വിളിക്കാൻ നിനക്ക് അനുവദിക്കുന്നു,MALAYALAM
ನೀವು ಮನೆಗೆ ಬಂದಾಗ ನನಗೆ ಕರೆ ಮಾಡಿ,KANNADA
நீங்கள் வீட்டிற்கு வந்ததும் என்னை அழைக்கவும்,TAMIL
Don't forget to buy vegetables,ENGLISH
காய்கறிகள் வாங்க மறக்காதே,TAMIL
सब्जियां खरीदना मत भूलिए ,HINDI
కూరగాయలు కొనడానికి మర్చిపోకుండా,TELUGU
سبزیاں خریدنا مت بھولیں,URDU
പച്ചക്കറി വാങ്ങാൻ മറക്കരുത്,MALAYALAM
ಹುರುಳಿಗಳನ್ನು ಖರೀದಿಸಲು ಮರೆಯಬೇಡಿ,KANNADA
Don't worry about it,ENGLISH
इसकी चिंता मत करो ,HINDI
అది పరిస్థితి లేదు,TELUGU
اس بارے میں فکر نہ کرو,URDU
അതിനെ ചിന്തിക്കാതെ,MALAYALAM
ಅದನ್ನು ಚಿಂತಿಸಬೇಡ,KANNADA
அதைப் பற்றி கவலைப்பட வேண்டாம்,TAMIL
What do you want to eat?,ENGLISH
நீங்கள் என்ன உண்ண விரும்புகிறீர்கள்,TAMIL
आप क्या खाना चाहते हैं?,HINDI
మీరు ఏమి తినాలి,TELUGU
آپ کو کیا کھانا چاہئے,URDU
നിനക്ക് എന്താണ് ഭക്ഷണം ആവശ്യമാക്കുക,MALAYALAM
ನೀವು ಏನನ್ನು ತಿನಬಹುದು,KANNADA
How can I help you?,ENGLISH
मैं आपकी कैसे सहायता कर सकता हूँ? ,HINDI
నేను మీకు ఎలా సహాయించగలను? ,TELUGU
میں آپ کی کس طرح مدد کر سکتا ہوں؟ ,URDU
ഞാൻ നിനക്ക് എങ്ങനെ സഹായിക്കാം?,MALAYALAM
ನೀವು ಹೇಗೆ ಸಹಾಯ ಮಾಡಬಹುದು?,KANNADA
நான் உங்களுக்கு எப்படி உதவ முடியும்?,TAMIL
Why are you late?,ENGLISH
ஏன் தாமதமாக வந்தாய்?,TAMIL
तुम देर क्यों हो? ,HINDI
మీరు ఎందుకు తాముగా ఉన్నారు?,TELUGU
آپ دیر سے کیوں ہیں؟,URDU
നിനക്ക് എങ്ങനെ വന്നായി?,MALAYALAM
ನೀನು ಏನಾದ್ದು ಕೊಡವಿಯಾಗಿದ್ದೀಯಾ? ,KANNADA
ಕಿಟಕಿ ಬದಿಯಲ್ಲಿ ನಿಲುಕೊ,KANNADA
کھڑا ہو جھلی پر,URDU
खिड़की के पास खड़ा हो,HINDI
కిటకి కరుకొను,TELUGU
കടക്കലുക എന്നിലേക്ക്,MALAYALAM
Stand by the window,ENGLISH
Stand against the window,ENGLISH
ಕಿಟಕಿನ ವಿರುದ್ಧ ನಿಲು,KANNADA
کھڑے ہوں کھڑکی کے خلاف ,URDU
खिड़की के सामने खड़े रहो ,HINDI
విండోలో నిండండి,TELUGU
വിന്‍ഡോ എത്ര നിന്നുണ്ട് ,MALAYALAM
The fan is above the table.,ENGLISH
ಟೇಬಲ್ ಮೇಲೆ ಪೇಂ ಇದೆ,KANNADA
میز کے اوپر پنکھا ہے,URDU
मेज़ के ऊपर पंखा है,HINDI
టేబుల్ పైన ఫ్యాన్ ఉంది,TELUGU
ടേബിൾ മേലെ പനക്ക് ഉണ്ട്,MALAYALAM
അവനെ ആശുപത്രിക്ക് കൊണ്ടു പോകുക,MALAYALAM
మీరు అతను ఆసుపత్రికి తీసుకోండి.,TELUGU
आप उसे अस्पताल ले जाएं।,HINDI
آپ اُسے ہسپتال لے جائیں۔,URDU
ಅವನನ್ನು ಆಸ್ಪತ್ರೆಗೆ ಕರೆದೊಯ್ಯಿ,KANNADA
You take him to the hospital.,ENGLISH
അവന്‍ കൊരുത്തുകയാണ് ,MALAYALAM
అతనికి గంభీరంగా గాయం కలిగింది,TELUGU
उसे गंभीर रूप से चोट आई है,HINDI
اسے سنگین چوٹ لگ گئی ہے ,URDU
ಅವನು ಗಂಭೀರವಾಗಿ ಗಾಯವಾದನು,KANNADA
He got seriously injured,ENGLISH
அவன் கடினமாக காயம் பெற்றான்,TAMIL
படுக்கையிலிருந்து விரைவில் எழு,TAMIL
Get up quickly from the bed.,ENGLISH
ಹಟತೀವು ಹತ್ತಿರವಿನಿಂದ ಎದ್ದು ನಿಂತುಕೊಳ್ಳಿ ,KANNADA
بستر سے تیزی سے اٹھیں,URDU
बिस्तर से तेजी से उठें ,HINDI
పట్టించిన నుండి త్వరగా ఎదురుకోండి,TELUGU
കടിച്ചുവീഴുക വേഗത്തിൽ,MALAYALAM
You eat the food without being left over,ENGLISH
ನೀವು ಉಣಿಸಿಕೊಳ್ಳುತ್ತೀರಿ ಉಳಿಸಿಕೊಳ್ಳದೆ,KANNADA
آپ خوراک خوریں بغیر بچا کچہ,URDU
तुम भोजन करो बिना बचे हुए,HINDI
మీరు ఉండదు లేక ఆహారాన్ని తినండి,TELUGU
നിനക്ക് ഇടം വിടാതെ ഭക്ഷണം കഴിക്കൂ,MALAYALAM
Keep the box upside down,ENGLISH
ಕಟ್ಟಿರುವ ಪೆಟ್ಟಿಯನ್ನು ಕೆಳಗೆ ತರಿಸಿ,KANNADA
ڈبہ الٹا رکھیں ,URDU
डिब्बा उलटा रखें ,HINDI
పెట్టిని తలుపుతో ఉంచండి,TELUGU
പെട്ടിയെ കീഴടക്കുക,MALAYALAM
உங்கள் கையை உயர்த்து,TAMIL
Raise your hand,ENGLISH
ನಿಮ್ಮ ಕೈಯನ್ನು ಎತ್ತಿ,KANNADA
اپنا ہاتھ اٹھائیں,URDU
अपना हाथ उठाएं,HINDI
మీ చేతిని పెడియండి ,TELUGU
നിനച്ചത് കൊണ്ട് പിന്നെ,MALAYALAM
Lift the luggage,ENGLISH
ಸೌಕರ್ಯಾನುಸಾರ ಸಾಮಾನು ಎತ್ತಿ,KANNADA
سامان اٹھائیں,URDU
सामान उठाएं ,HINDI
బాగా సామాను ఎత్తు,TELUGU
സാമാനിൽ നിന്ന് ഏറ്റെടുക്കുക,MALAYALAM
He is asking for more money for the car.,ENGLISH
ಅವನು ಕಾರಿಗಾಗಿ ಇನ್ನೊಂದು ಹಣವನ್ನು ಕೇಳುತ್ತಿದ್ದಾನೆ,KANNADA
اس نے گاڑی کے لئے مزید پیسے مانگے ہیں۔,URDU
उसने कार के लिए और पैसे मांग रखे हैं।,HINDI
అతను కారుకు మరిన్ని డబ్బులు కోరుకుంటున్నాడు,TELUGU
അവൻ കാർക്ക് കൂടുതൽ പണം അഭ്യന്തരമാക്കുന്നു.,MALAYALAM
அவன் காருக்கு இன்னொரு பணம் கேட்டுக்கொள்கிறான்.,TAMIL
I apologize if my words seemed harsh; that was not my intention.,ENGLISH
ಆ ದೃಷ್ಟಿಕೋಣವನ್ನು ಕಠಿಣವಾಗಿ ವಿಮರ್ಶಿಸಲು ನಾನು ಹೇಳಿದ ವಿಷಯಕ್ಕೆ ಕ್ಷಮಿಸಿ.,KANNADA
"میرے الفاظ بہت سخت لگے ہوئے تو معاف کریں، یہ میرا ارادہ نہیں تھا۔",URDU
"मुझसे गुस्सा करने का मेरा इरादा नहीं था, मैं खेद करता हूँ अगर मेरे शब्द कठोर लगे हों.",HINDI
"అలా నాకు చెప్పినంత కఠినంగా అనిపించినట్లు కోరుకుంటున్నాం, దయచేసి క్షమించండి.",TELUGU
ഞാൻ അത് അകറ്റുന്നതിന് ഞാൻ ആശങ്കിക്കുന്നു; അത് എനിക്കു ഉചിതമല്ലെങ്കിൽ എനിക്ക് എന്റെ കടമയുള്ളവനാകരുത്.,MALAYALAM
அவன் எப்போதும் நல்லவன் ,TAMIL
He is such a nice person,ENGLISH
 ಅವನು ಹೊಸಾಗಿ ಒಳ್ಳೆಯ ವ್ಯಕ್ತಿ,KANNADA
وہ بہت اچھا انسان ہے,URDU
वह बहुत अच्छा आदमी है,HINDI
అతను అందరికీ మంచి వ్యక్తి,TELUGU
അവന്‍ ഒരു നല്ല വ്യക്തി ആണ്,MALAYALAM
"Those who would like to accompany me, please join.",ENGLISH
"ಯಾರಿಗೆ ನನ್ನೊಡನೆ ಬರಲು ಇಷ್ಟವಿದೆಯೋ, ದಯವಿಟ್ಟು ಬನ್ನಿ.",KANNADA
"جو لوگ میرے ساتھ آنا چاہتے ہیں، براہ کرم آئیں۔",URDU
"जो लोग मेरे साथ आना चाहते हैं, कृपया आइए।",HINDI
"నాతో రాని వాళ్ళు, దయచేసి రాని వాళ్ళు రావాలంటే.",TELUGU
"എനിക്ക് ഇഷ്ടപ്പെടുന്നവർ, ദയവായി വരുക",MALAYALAM
ദയവായി കടവു അടഞ്ഞിരിക്കുക,MALAYALAM
దయచేసి ద్వారం అంగీకరించబడింది అని ఖచితంగా చేయండి ,TELUGU
कृपया सुनिश्चित करें कि दरवाजा बंद है।,HINDI
"براہ کرم، یہ یقینی بنائیں کہ دروازہ بند ہے۔",URDU
ದಯವಿಟ್ಟು ಬಾಗಿಲು ಹಾಕಿದೆಯೇನೋ ಖಚಿತವಾಗಿರಿ,KANNADA
Please make sure that the door is locked.,ENGLISH
தயவுசெய்து கதவு பூட்டப்பட்டிருக்கவும்,TAMIL
He goes through the forest,ENGLISH
ಅವನು ಕಾಡನ್ನು ಸವರುತ್ತಾನೆ,KANNADA
وہ جنگل سے گزرتا ہے ,URDU
वह जंगल से गुजरता है ,HINDI
అతను అడవిలో వెళ్ళి ఉంటాడు,TELUGU
അവൻ കാട്ടിൽ പോകുന്നു,MALAYALAM
Ask him to come here,ENGLISH
ಅವನನ್ನು ಇಲ್ಲಿ ಬರಲು ಕೇಳಿ ,KANNADA
اسے یہاں آنے کے لئے کہیں ,URDU
उससे यहाँ आने को कहें,HINDI
అతనికి ఇక్కడ రాండండి,TELUGU
അവനെ ഇവിടെ വാങ്ങുക ,MALAYALAM
இன்று மழை பெய்யின் என்ன ஆகும்?,TAMIL
What if it rains today?,ENGLISH
ಇಂದು ಮಳೆ ಬರುತ್ತಿದ್ದರೆ ಏನಾಗುತ್ತದೆ?,KANNADA
آج بارش ہو جائے تو کیا ہو گا؟ ,URDU
आज बारिश हो जाए तो क्या होगा?,HINDI
ఈ రోజు వర్షం పడితే ఏమవుతుంది? ,TELUGU
ഇന്ന് മഴ പെയ്യുമ്പോള്‍ എന്താകുമെന്ന് ചോദിക്കുന്നു?,MALAYALAM
அவன் ஏன் இன்னும் போகவில்லை?,TAMIL
Why doesn't he leave yet?,ENGLISH
ಅವನು ಏನು ಇನ್ನೂ ಬಾಹ್ಯವಾಗಿಲ್ಲದಿದ್ದಾನೆ?,KANNADA
وہ ابھی کیوں نہیں چلا گیا؟,URDU
वह अभी क्यों नहीं छोड़ रहा है?,HINDI
అతను ఏమిటికాలిపోతున్నాడు?,TELUGU
അവൻ എങ്ങനെ എന്നാൽ അപ്പോൾ എങ്ങനെ?,MALAYALAM
என்னை குற்றப்படுத்த வேண்டாம்,TAMIL
Don't accuse me,ENGLISH
: ನನ್ನನ್ನು ದೂರಿಕೊಳ್ಳಬೇಡಿ,KANNADA
مجھے الزام نہ لگائیں,URDU
मुझे इल्ज़ाम न लगाएं,HINDI
నన్ను ఆరోపించడానికి లేదు,TELUGU
എനിക്ക് അരിക വരുത്താനാകില്ല,MALAYALAM
நான் காபி குடிக்கும் பழக்கம் உள்ளேன்,TAMIL
I am used to drinking coffee.,ENGLISH
ನಾನು ಕಾಫಿ ಕುಡಿಯುವುದು ಹೆಚ್ಚುತ್ತಿದ್ದೇನೆ,KANNADA
مجھے قہوہ پینا عادت ہے,URDU
मुझे कॉफ़ी पीने की आदत है,HINDI
నాకు కాఫీ తాగడం అభ్యంతరమే,TELUGU
എനക്ക് കോഫി കുടിയുന്നത് പരിശീലനം ആയിരിക്കുന്നു,MALAYALAM
"ദയവായി, ഒരു കോഫി കപ്പ് എടുക്കാനുള്ള അനുമതി നല്‍കു",MALAYALAM
దయచేసి ఒక కాఫీ కప్పించండి ,TELUGU
क्या मैं एक कप कॉफ़ी पा सकता हूँ?,HINDI
"براہ کرم، مجھے ایک چائے کا کپ چاہیے ",URDU
ಒಂದು ಕಾಫಿ ದಯವಿಟ್ಟು,KANNADA
"Can I have a cup of coffee, please?",ENGLISH
ஒரு காபி கொடுக்கலாமா?,TAMIL
அவன் வழியில் உள்ளான்,TAMIL
He is on the way,ENGLISH
ಅವನು ದಾರಿಯಲ್ಲಿದ್ದಾನೆ,KANNADA
وہ راستے میں ہے,URDU
वह रास्ते में है,HINDI
అతను పథంలో ఉన్నాడు,TELUGU
അവൻ വഴിയിൽ ഉണ്ട്,MALAYALAM
அவனை நம்புவதில் எந்த பயனும் இல்லை,TAMIL
There is no use of believing him,ENGLISH
ಅವನನ್ನು ನಂಬಲು ಯಾವ ಉಪಯೋಗವೂ ಇಲ್ಲ ,KANNADA
اسے یقین کرنے کا کوئی فائدہ نہیں ہے,URDU
उसे विश्वास करने में कोई फ़ायदा नहीं है,HINDI
ఆయనను నమ్మడానికి ఏ ఉపయోగం లేదు,TELUGU
അവനെ വിശ്വസിക്കാന്‍ അനുവദിക്കുന്ന എന്തോരു ഉപയോഗവുമില്ല,MALAYALAM
You go and bring him.,ENGLISH
ನೀನು ಹೋಗಿ ಅವನನ್ನು ತರು,KANNADA
تم جاؤ اور اُسے لاؤ ,URDU
तुम जाओ और उसे लाओ,HINDI
నీవు వెళ్ళి అతను తీసుకొ,TELUGU
നീ പോകുക അവനെ എടുക്കുക,MALAYALAM
Has the power come?,ENGLISH
ವಿದ್ಯುತ್ ಬಂದಿದೆಯೇ?,KANNADA
بجلی آ گئی ہے؟,URDU
बिजली आ गई है?,HINDI
పవర్ రావాలా?,TELUGU
വൈദ്യുതം വന്നോ?,MALAYALAM
Walk the bicycle,ENGLISH
ಸೈಕಲ್ ನಡೆಸಿ ,KANNADA
سائیکل چلائیں,URDU
साइकिल चलाएं,HINDI
సైకిల్ నడిపించండి,TELUGU
സൈക്കിൾ നടക്കുക,MALAYALAM
இங்கே வாருங்கள்,TAMIL
Come here,ENGLISH
ಇಲ್ಲಿ ಬನ್ನಿ,KANNADA
یہاں آئیے,URDU
यहाँ आइए,HINDI
ఇక్కడ రా,TELUGU
